INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(68,'Choroba 113653','Opis choroby 113653','Objawy choroby 113653')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(420,'Choroba 353401','Opis choroby 353401','Objawy choroby 353401')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(428,'Choroba 402176','Opis choroby 402176','Objawy choroby 402176')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(434,'Choroba 841020','Opis choroby 841020','Objawy choroby 841020')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(432,'Choroba 485131','Opis choroby 485131','Objawy choroby 485131')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(440,'Choroba 705798','Opis choroby 705798','Objawy choroby 705798')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(446,'Choroba 481672','Opis choroby 481672','Objawy choroby 481672')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(444,'Choroba 662601','Opis choroby 662601','Objawy choroby 662601')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(452,'Choroba 43755','Opis choroby 43755','Objawy choroby 43755')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(458,'Choroba 962477','Opis choroby 962477','Objawy choroby 962477')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(456,'Choroba 423328','Opis choroby 423328','Objawy choroby 423328')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(464,'Choroba 611071','Opis choroby 611071','Objawy choroby 611071')
